ONLINE Vaihingen (PPP)	Thu Dec 11 04:21:06 1997
OFFLINE Vaihingen (PPP)	Thu Dec 11 04:25:50 1997
ONLINE Vaihingen (PPP)	Thu Dec 11 04:48:24 1997
OFFLINE Vaihingen (PPP)	Thu Dec 11 04:48:52 1997
ONLINE Vaihingen (PPP)	Thu Dec 11 04:49:28 1997
ONLINE Vaihingen (PPP)	Thu Dec 11 05:40:48 1997
OFFLINE Vaihingen (PPP)	Thu Dec 11 05:44:58 1997
ONLINE Vaihingen (PPP)	Thu Dec 11 06:15:46 1997
ONLINE Vaihingen (PPP)	Thu Dec 11 06:41:56 1997
OFFLINE Vaihingen (PPP)	Thu Dec 11 06:44:48 1997
ONLINE Vaihingen (PPP)	Thu Dec 11 06:51:50 1997
OFFLINE Vaihingen (PPP)	Thu Dec 11 07:07:00 1997
ONLINE T-Online	Thu Dec 11 07:08:22 1997
OFFLINE T-Online	Thu Dec 11 07:11:34 1997
ONLINE Vaihingen (PPP)	Thu Dec 11 10:27:38 1997
OFFLINE Vaihingen (PPP)	Thu Dec 11 10:34:12 1997
ONLINE Vaihingen (PPP)	Thu Dec 11 10:39:38 1997
OFFLINE Vaihingen (PPP)	Thu Dec 11 10:47:14 1997
ONLINE Vaihingen (PPP)	Thu Dec 11 10:57:44 1997
OFFLINE Vaihingen (PPP)	Thu Dec 11 11:00:42 1997
ONLINE T-Online	Fri Dec 12 01:51:34 1997
OFFLINE T-Online	Fri Dec 12 01:53:16 1997
ONLINE Vaihingen (PPP)	Fri Dec 12 02:59:30 1997
OFFLINE Vaihingen (PPP)	Fri Dec 12 03:10:56 1997
ONLINE T-Online	Fri Dec 12 04:16:16 1997
OFFLINE T-Online	Fri Dec 12 04:23:06 1997
ONLINE T-Online	Fri Dec 12 04:45:08 1997
OFFLINE T-Online	Fri Dec 12 04:58:48 1997
ONLINE T-Online	Fri Dec 12 04:59:26 1997
OFFLINE T-Online	Fri Dec 12 05:27:50 1997
ONLINE Vaihingen (PPP)	Fri Dec 12 07:25:18 1997
OFFLINE Vaihingen (PPP)	Fri Dec 12 07:25:54 1997
ONLINE T-Online	Fri Dec 12 07:26:28 1997
ONLINE T-Online	Fri Dec 12 07:27:48 1997
OFFLINE T-Online	Fri Dec 12 07:35:12 1997
ONLINE Compuserve	Fri Dec 12 10:02:00 1997
OFFLINE Compuserve	Fri Dec 12 10:02:36 1997
ONLINE Vaihingen (PPP)	Fri Dec 12 10:06:46 1997
OFFLINE Vaihingen (PPP)	Fri Dec 12 10:08:06 1997
ONLINE Vaihingen (PPP)	Fri Dec 12 11:12:56 1997
ONLINE Vaihingen (PPP)	Fri Dec 12 11:19:46 1997
OFFLINE Vaihingen (PPP)	Fri Dec 12 11:21:12 1997
ONLINE T-Online	Sat Dec 13 03:45:22 1997
OFFLINE T-Online	Sat Dec 13 03:46:52 1997
ONLINE T-Online	Sat Dec 13 03:47:28 1997
OFFLINE T-Online	Sat Dec 13 03:47:54 1997
ONLINE T-Online	Sat Dec 13 03:53:56 1997
OFFLINE T-Online	Sat Dec 13 04:09:38 1997
ONLINE Vaihingen (PPP)	Sat Dec 13 04:22:40 1997
OFFLINE Vaihingen (PPP)	Sat Dec 13 04:24:14 1997
ONLINE Vaihingen (PPP)	Sat Dec 13 09:48:10 1997
ONLINE Vaihingen (PPP)	Sat Dec 13 09:59:58 1997
OFFLINE Vaihingen (PPP)	Sat Dec 13 10:03:38 1997
ONLINE Vaihingen (PPP)	Sat Dec 13 13:21:40 1997
ONLINE Vaihingen (PPP)	Sat Dec 13 22:01:10 1997
OFFLINE Vaihingen (PPP)	Sat Dec 13 22:01:42 1997
ONLINE Uni KA	Sun Dec 14 00:36:26 1997
OFFLINE Uni KA	Sun Dec 14 00:37:16 1997
ONLINE Uni KA	Sun Dec 14 00:42:54 1997
OFFLINE Uni KA	Sun Dec 14 00:45:32 1997
ONLINE Uni KA	Sun Dec 14 00:49:54 1997
OFFLINE Uni KA	Sun Dec 14 00:51:04 1997
ONLINE Uni KA	Sun Dec 14 00:54:16 1997
OFFLINE Uni KA	Sun Dec 14 00:55:16 1997
ONLINE Uni KA	Sun Dec 14 01:04:12 1997
OFFLINE Uni KA	Sun Dec 14 01:05:38 1997
ONLINE Uni KA	Sun Dec 14 01:15:44 1997
OFFLINE Uni KA	Sun Dec 14 01:16:56 1997
ONLINE Uni KA	Sun Dec 14 01:30:48 1997
OFFLINE Uni KA	Sun Dec 14 01:31:38 1997
ONLINE Uni KA	Sun Dec 14 01:43:54 1997
OFFLINE Uni KA	Sun Dec 14 01:45:12 1997
ONLINE Uni KA	Sun Dec 14 01:55:48 1997
OFFLINE Uni KA	Sun Dec 14 01:56:48 1997
ONLINE Uni KA	Sun Dec 14 02:36:48 1997
OFFLINE Uni KA	Sun Dec 14 02:37:50 1997
ONLINE Uni KA	Sun Dec 14 03:00:12 1997
ONLINE Uni KA	Sun Dec 14 03:28:56 1997
OFFLINE Uni KA	Sun Dec 14 03:30:06 1997
