
*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*

ð Liste des 423 boots reconnus par La bibliothŠque v 4.23 
ð DerniŠres modifs: 12 Janvier 1999

*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*


---------------------------------------------------------------------------
ð Utilitaires [021] 
---------------------------------------------------------------------------

 007 - BEDLAM DEMO                          Chaos
 008 - BIG DEMO
 009 - BIRD MAD GIRL SHOW                   Fraggles
 010 - BLACK DEMO                           Black Cats
 011 - BLOODSUCKER DEMO                     Acf
 012 - BURNING ILLUSIONS                    Dnt Crew
 013 - CHOICE OF GODS DISK 1                ???     
 014 - COLORZ DEMO                          Hemoroids
 015 - CST DEMO                             Constellations
 016 - CST DEMO II                          Constellations
 017 - DARK SIDE OF THE SPOON               Ulm
 018 - DECADE DEMO                          Inner Circle
 019 - DELIRIOUS DEMO II                    Overlanders
 020 - EAT MY BOLLOCKS                      Equinox
 021 - ELECTRA DEMO                         Electra
 022 - ETERNAL SOUND DEMO II                Eternal
 023 - EUROPEAN DEMOS                       Overlanders
 024 - EVEN EASTER DEMO                     Cac
 025 - EXTREME RAGE DEMO                    Ana
 026 - FISH'N SHIP DEMO                     Sewer Soft
 027 - FROGGIES OVER THE FENCE A            WizzFrog
 028 - FROGGIES OVER THE FENCE B/C          WizzFrog
 029 - GALTAN 6 MEGADEMO                    Galtan 6
 030 - GATEWAY TO HEXELAND                  Avengers
 031 - GENESYS DEMO                         Aenigmatica
 032 - GNURK DEMO                           Cac & Ana
 033 - HACKABOUND DEMO                      Total Vision
 034 - HACKBEARS COMPIL 1                   Hackbears
 035 - HARDCORE DEMO                        Overlanders
 036 - HIGHT VOLTAGE DEMO                   Hight Voltage
 037 - IF PIGS COULD FLY                    Syndicate
 038 - IMAGINATION DEMO                     Dynamic Duo
 039 - INSPIRATIONAL DEMO                   Jsd
 040 - INVISIBLE MAN DEMO                   Pov
 041 - JOYSTICK DEMO                        Ltk
 042 - JUST BUGGIN' DEMO                    Acf
 043 - JUST MUSIX DEMO                      Dns
 044 - LE JOLI PETIT MATIN                  Conceptors
 045 - LIFE IS A BITCH                      Lost Boys
 046 - LIGHTNINGS DEMO                      Pendragons
 047 - LIGHTSPEED DEMO                      Untouchables
 048 - M-DEMO 3                             An Cool/Tcb
 049 - M-DEMO 4 DISK 1                      An Cool/Tcb
 050 - M-DEMO 4 DISK 2                      An Cool/Tcb
 051 - MASSIVE ATTACK                       Impact
 052 - MATHEMATIQUE SQUIZOFRENE             Dune
 053 - MEGABAND DEMO                        Lost Boys
 054 - MEGABLAST DEMO                       Tar & Gnd
 055 - MINDBOMB DEMO                        Lost Boys
 056 - MUSICAL WONDER                       ???
 057 - MUSIC DREAM 2                        Inner Circle
 058 - MY SOCKS ARE WEAPONS                 Legacy
 059 - NEW YEAR DEMO 2                      Tcb & Co
 060 - NEXT COMPIL OF CHARTS                Next
 061 - NITROWAVE DEMO                       Naos
 062 - NO COPPER MULTIPART                  1984
 063 - NPG MEGADEMO                         Npg
 064 - NTM DEMO DISK 1                      Zuul
 065 - NTM DEMO DISK 2                      Zuul
 066 - O DEMO                               Oxygene
 067 - OH CRIKEY WOT A SCORCHER             Lost Boys
 068 - OVERDOSE DEMO                        Agression
 069 - OVERDRIVE DEMO                       Phallanx
 070 - OVERSCAN DEMO                        Paulo Simoes/Carlos Dias
 071 - PANDEMONIUM DEMO                     Chaos
 072 - PHALANX DEMO                         Phalanx
 073 - PHALEON DEMO DISC 1                  Next
 074 - PHALEON DEMO DISCS 2/3/4             Next
 075 - POLTERGEIST DEMO                     Poltergeist
 076 - POWER RISE DEMO                      Light
 077 - REALITY IS A LIE                     Psychonomix
 078 - RONNIE DEMO                          O.U.C.H
 079 - RIPDIS MEGADEMO                      Lem & Nic
 080 - S EXPRESS DEMO                       A.P.A
 081 - SALON DE LA MICRO 90                 Overlanders
 082 - SKID ROW DEMO DISK 1                 Skid Row
 083 - SKID ROW DEMO DISK 2                 Skid Row
 084 - SOWATT DEMO                          The Union
 085 - ST NEWS 4.2                          R. Karsmakers
 086 - ST NEWS 6.2                          R. Karsmakers
 087 - ST NEWS 7.1                          R. Karsmakers
 088 - STUPENDOUS DEMO                      Pixel Twins
 089 - SYNTH DREAM DEMO                     Laurens Tummers
 090 - TEC DEMO                             Tec
 091 - THALION SOUND DEMO                   Thalion
 092 - THINGS NOT TO DO                     Inner Circle
 093 - TRANSBEAUCE DEMO                     Bushwackers
 094 - TRANSBEAUCE DEMO II DK 1             Bushwackers
 095 - TRANSBEAUCE DEMO II DK 2             Bushwackers
 096 - UNION DEMO                           The Union
 097 - V8 MUSIC SYSTEM 2                    V8
 098 - VECTOR DEMO                          B.I
 099 - VENTURA DEMO DISCS 1/2               Overlanders
 100 - VODKA DEMO                           Equinox
 101 - XTC DEMO                             The Alliance
 102 - YEAR AFTER DEMO                      The Alliance
 103 - YO DEMO                              Tbc


--------------------------------------------------------------------------
ð Boots de Jeux [105] 	
--------------------------------------------------------------------------
 
 001 - ARENA DISC 1                         Psygnosis
 002 - ARMOURGEDDON DISC 1                  Psygnosis
 003 - AXEL'S MAGIC HAMMER                  Gremlin
 004 - BAAL DISC 1                          Psygnosis
 005 - BALLISTIX                            Psygnosis
 006 - BARBARIAN DISC 1                     Psygnosis
 007 - BAT II DISC 1                        Ubi Soft
 008 - BEACH VOLLEYBALL A                   Ocean
 009 - BEYOND THE ICE PALACE                Elite
 010 - BLACK LAMP                           Firebird
 011 - BLOOD MONEY DISC 1                   Psygnosis
 012 - BOMBER A                             Activision
 013 - BONANZA BROS                         Sega
 014 - CADAVER DISC 1                       Imageworks
 015 - CARRIER COMMAND                      Rainbird
 016 - CASTLE MASTER                        Domark
 017 - CASTLE MASTER II (THE CRYPT)         Incentive
 018 - CHAOS STRIKES BACK UTILITY DISC      Ftl
 019 - DOGS OF WAR                          Elite
 020 - DRAGON NINJA                         Ocean
 021 - DRAKKEN                              Infogrammes
 022 - DUNGEON MASTER/CHAOS STRIKES BACK    Ftl
 023 - ELIMINATOR                           Hewson
 024 - ENCHANTED LAND                       Thalion
 025 - F19 SLEATH FIGHTER                   Microprose
 026 - FATES GATES OF DOWN                  ???
 027 - FLIMBO'S QUEST                       System 3
 028 - FORGOTTEN WORLDS                     US Gold
 029 - FORMULA ONE DISCS 1/2/3              Microprose 
 030 - G.NIUS                               Infogramme
 031 - GALAXY FORCE DISC 1                  Activision
 032 - GALAXY FORCE DISC 2                  Activision
 033 - GEMINI WINGS DISC 1                  Virgin
 034 - GOLDEN AXE DISC 1                    Virgin
 035 - GOLD OF THE AZTEC DISC 1             US Gold
 036 - GOLDRUNNER                           Microdeal
 037 - GOLDRUNNER II                        Microdeal
 038 - GREAT GIANA SISTERS                  Micro Partner
 039 - HARLEQUIN                            Gremlin's
 040 - HERO QUEST                           ???
 041 - HOOK DISC 1                          Ocean
 042 - IKARI WARRIORS                       Elite
 043 - IMPERIUM                             Electronic Arts
 044 - IMPOSSAMOLE                          Gremlin
 045 - INFESTATION                          Psygnosis
 046 - INTERNATIONNAL 3D TENNIS A           Palace
 047 - INTERNATIONNAL 3D TENNIS B           Palace
 048 - INTERNATIONNAL SOCCER                Empire
 049 - INTERNATIONAL KARATE +               System 3
 050 - INTERPHASE                           Imageworks
 051 - JAMBALA DISC 1                       Thalion
 052 - JAMES POND                           Millenium
 053 - KID GLOVES 2                         Electronic Arts
 054 - KILLING CLOUD DISC 1                 Imageworks
 055 - LASER SQUAD                          Domark
 056 - LEANDER DISC 1                       Psygnosis
 057 - LEONARDO                             Starbyte
 058 - LORDS OF CHAOS                       Blade Software
 059 - LURE OF TEMPRESS                     Virgin
 060 - MAGIC POCKETS                        Renegade
 061 - MARBLE MADNESS                       Electronic Arts
 062 - MASQUE                               Ubi Soft
 063 - MAUPITI ISLAND                       Lankhor
 064 - MEGA LO MANIA                        Imageworks
 065 - MENACE DISC 1                        Psyclapse
 066 - MENACE DISC 2                        Psyclapse
 067 - MIDWINTER                            Rainbird
 068 - MONSTER BUSINESS                     Eclipse
 069 - MOONWALKER                           US Gold
 070 - MURDER                               US Gold
 071 - NIGHT HUNTER DISC 1                  Ubi Soft
 072 - NITRO                                Psygnosis
 073 - OH NO ! MORE LEMMINGS                Psygnosis
 074 - ONSLAUGTH                            Hewson
 075 - P47 THUNDERBOLT                      Firebird
 076 - PURPLE SATURN DAY DISC 1             Infogramme
 077 - PURPLE SATURN DAY DISC 2             Infogramme
 078 - RAINBOW ISLAND DISC 1                Ocean
 079 - REALMS                               Virgin
 080 - RINGS OF MEDUSA                      Starbyte
 081 - RODLAND                              Sale Curve                   
 082 - SAINT DRAGON                         Sale Curve
 083 - SHADOWLANDS                          Domark
 084 - SHADOW OF THE BEAST A                Psygnosis
 085 - SHADOW OF THE BEAST II A             Psygnosis
 086 - SHINOBI DISC 1/2                     Virgin
 087 - SUPER HANG ON DISC 1                 Electric Dream
 088 - SUPER HANG ON DISC 2                 Electric Dream
 089 - THE IMMORTAL                         Electronic Arts
 090 - THUNDERBIRDS DISC 1                  Grandslam
 091 - THUNDERBIRDS DISC 2                  Grandslam
 092 - TIE BREAK                            Starbyte
 093 - TIGER ROAD                           ???
 094 - TOKI                                 Ocean
 095 - TOYOTA CELICA GT                     Gremlin
 096 - TURRICAN II                          Rainbow Art
 097 - TWINWORLD                            Ubi Soft
 098 - VROOM / VROOM DATA DISC              Lankhor              
 099 - VROOM MULTIPLAYER                    Lankhor
 100 - X-OUT                                Rainbow Arts
 101 - XENON II DISC 1                      Imageworks
 102 - XENON II DISC 2                      Imageworks
 103 - XENOPHOBE                            Action 16
 104 - ZANY GOLF DISC 1/2                   Electronic Arts
 105 - ZOOL DISC 1                          Gremlin


--------------------------------------------------------------------------
ð Virus [009] 
--------------------------------------------------------------------------

 001 - C'T VIRUS 
 002 - CARPEDIEM VIRUS
 003 - FAT (SWISS/BLOT) VIRUS
 004 - GHOST VIRUS [Type A]
 005 - GHOST VIRUS [Type I]
 006 - KOBOLD II VIRUS
 007 - MAD (FUN) VIRUS
 008 - OLI VIRUS 
 009 - SIGNUM BPL (KEY) VIRUS 


--------------------------------------------------------------------------
ð 'Virus' Antivirus [008] 
--------------------------------------------------------------------------

 001 - ANTIVIRUS 5.1 [cloning]              ???
 002 - FUZION ANTIVIRUS                     Fuzion
 003 - M. BACKSHAT ANTIVIRUS                M. Backshat
 004 - PD 141 ANTIVIRUS                     ???
 005 - TDT 3.0 ANTIVIRUS                    Tdt
 006 - TDT 4.0 ANTIVIRUS                    Tdt
 007 - THE 'ANTI' VIRUS                     ???
 008 - TOUBAB ANTIVIRUS                     Toubab




